name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Butcher's Hook,477 Fulham Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.18876414504295091,51.48030115498771,525872.6735424787,177260.13425368693,08/25/2019
Frankie's Sports Bar & Diner,Stamford Bridge,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.19027256080650248,51.481124783143855,525765.6698978393,177349.13494115893,08/25/2019
Simmons,374 North End Road,Fulham,,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.19941268542654375,51.48125647948551,525130.658352119,177348.13294941036,08/25/2019
Cock Tavern,360 North End Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.19941268542654375,51.48125647948551,525130.658352119,177348.13294941036,08/25/2019
Goose,248 North End Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.20265695695855288,51.4851910540755,524894.6493939792,177780.13871205325,08/25/2019
Harwood Arms,Walham Grove,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.19782550882090655,51.48242811619229,525237.6578822802,177481.1350154233,08/25/2019
SW9,11 Dorrell Place,Brixton,London,E09000022,Lambeth,,E05000421,Ferndale,,-0.1156705198662722,51.463268300982996,530996.7905653154,175494.1236098783,08/25/2019
Atlas,16 Seagrave Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.19619227358041325,51.486224873989286,525340.6573353685,177906.14216853702,08/25/2019
Prince,14 Lillie Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000258,North End,,-0.19768482231524054,51.48709312949107,525234.6557088069,178000.14363846282,08/25/2019
George & Dragon,47 Lillie Road,Fulham,,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.20201086530763226,51.485504886267904,524938.6502336427,177816.13955864968,08/25/2019
Lillie Langtry,19 Lillie Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.1982647895374533,51.48626572531455,525196.6548640092,177907.14185939176,08/25/2019
Rose,1 Harwood Terrace,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.18984226756753106,51.4767117668211,525807.6799401181,176859.1293422308,08/25/2019
Queen Elizabeth,58 Bagley Lane,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.18871837138737121,51.47454517853484,525891.6858357596,176620.12666878058,08/25/2019
Tommy Tucker,22 Waterford Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.19223279481330033,51.478169471808705,525637.6737746818,177017.1305216045,08/25/2019
Chelsea Lodge,562 Kings Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.1874853552552076,51.47949904175707,525963.6768792974,177173.1335777844,08/25/2019
Jam Tree,541 Kings Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.18757796649624708,51.47897890214634,525958.677896945,177115.1329029653,08/25/2019
Imperial Arms,577 Kings Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.18856361797422308,51.47845457443653,525891.6777962277,177055.13196317758,08/25/2019
Sands End,135-137 Stephendale Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000262,Sands End,,-0.18704773972316616,51.47237012753088,526013.6924577712,176381.12419080373,08/25/2019
Waterside Inn,"The Boulevard, Imperial Wharf",Fulham,London,E09000013,Hammersmith and Fulham,,E05000262,Sands End,,-0.18105186124569142,51.473239494024206,526427.698495517,176488.12743421865,08/25/2019
Callow Ruscoe,152 Wandsworth Bridge Road,Fulham,,E09000013,Hammersmith and Fulham,,E05000262,Sands End,,-0.1917282146194437,51.471624050707526,525690.6869210579,176290.12030427728,08/25/2019
Joe's Brasserie,130 Wandsworth Bridge Rd,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.19179627580905526,51.47245242365402,525683.6853657047,176382.1217239786,08/25/2019
Golden Lion,57 Fulham High Street,Fulham,London,E09000013,Hammersmith and Fulham,,E05000264,Town,,-0.21006288615749702,51.470034780789774,524421.6595592217,176082.10270792956,08/25/2019
Eight Bells,89 Fulham High Street,Fulham,London,E09000013,Hammersmith and Fulham,,E05000259,Palace Riverside,,-0.2100830316416831,51.46804769932935,524425.6614424727,175861.09729135438,08/25/2019
Temperance,90 Fulham High Street,Fulham,London,E09000013,Hammersmith and Fulham,,E05000259,Palace Riverside,,-0.21073220974535842,51.46985614445731,524375.6585847312,176061.1015972093,08/25/2019
King's Head,4 Fulham High Street,Fulham,London,E09000013,Hammersmith and Fulham,,E05000259,Palace Riverside,,-0.21113753595748402,51.47090548019495,524344.6569113968,176177.10410977888,08/25/2019
Amuse Bouche,51 Parsons Green Lane,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.2005704361047857,51.47488949237474,525067.6694512081,176638.12263780448,08/25/2019
Boma Green (Bar & Restaurant),271 New Kings Rd,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.20212957834393963,51.47222458852514,524966.6704666156,176339.11537531496,08/25/2019
King's Arms,425 New Kings Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000259,Palace Riverside,,-0.20985166277591355,51.46917725046902,524438.6607535399,175987.10058175318,08/25/2019
Pilango Cider,"Railway Arch 10, Munster Road",Fulham,,E09000013,Hammersmith and Fulham,,E05000264,Town,,-0.20503876389819428,51.473312291363825,524761.6644763019,176455.11566432356,08/25/2019
White Horse,1-3 Parsons Green,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.19913128095955482,51.47377029588922,525170.6728777196,176516.12068230106,08/25/2019
Duke On The Green,235 New Kings Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000260,Parsons Green and Walham,,-0.19991331643484353,51.47255929675561,525119.6733828353,176380.1175446725,08/25/2019
Fulham Wine Rooms,871-873 Fulham Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000264,Town,,-0.20691231194991086,51.47400640400015,524629.6607269977,176529.11595714104,08/25/2019
Slug @ Fulham,490 Fulham Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000264,Town,,-0.1985149800672936,51.480280484529345,525195.6614723428,177241.1317418,08/25/2019
Brown Cow,676 Fulham Rd,Fulham,London,E09000013,Hammersmith and Fulham,,E05000264,Town,,-0.20679848527426384,51.47470609433088,524635.6601632345,176607.1178623924,08/25/2019
Octoberfest Pub,678-680 Fulham Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000264,Town,,-0.20679848527426384,51.47470609433088,524635.6601632345,176607.1178623924,08/25/2019
Durell Arms,704 Fulham Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000264,Town,,-0.2078533767755565,51.47387690179769,524564.6593669674,176513.11488053406,08/25/2019
Mitre,81 Dawes Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.20364457879033765,51.48021528193557,524839.6549860545,177225.1297977111,08/25/2019
Wellington,56 Haldane Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.20213339957222565,51.48275502114127,524937.6519385121,177510.13448057743,08/25/2019
Rylston,197 Lillie Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.20775711485278275,51.48368639606733,524544.6431649617,177604.13390164694,08/25/2019
Captain Cook,205 Dawes Road,Fulham,London,E09000013,Hammersmith and Fulham,,E05000257,Munster,,-0.20947269715683886,51.481068767942915,524432.6455808121,177310.12839604216,08/25/2019
Bedford Arms,204 Dawes Rd,Fulham,London,E09000013,Hammersmith and Fulham,,E05000254,Fulham Broadway,,-0.20935016201466655,51.4812557424311,524440.6454196344,177331.12880269747,08/25/2019
